id,trigger,conditions,script,text,options,notes
shipTrophyIsaRemoteContact,ShipTrophyIsaRemoteContact,,"BeginConversation ship_trophy_isa
$shipTrophyIsaIntelDialog = true
IsaContactRulesCMD showContactPortrait
IsaContactRulesCMD prepareMain
FireAll ShipTrophyIsaMainText
FireAll ShipTrophyIsaMainOptions",,,Remote contact entry point available from Isa's Contacts intel.
shipTrophyIsaCloseIntel,DialogOptionSelected,"$option == ship_trophy_isa_close
$shipTrophyIsaIntelDialog",DismissDialog,You cut the comm link.,,Dismisses Isa's rules dialogue when opened as an Intel-screen overlay.
shipTrophyIsaCloseConversation,DialogOptionSelected,"$option == ship_trophy_isa_close
!$shipTrophyIsaIntelDialog",EndConversation,You cut the comm link.,,Returns cleanly from Isa's normal market-contact conversation.
shipTrophyIsaContactOption,PopulateOptions,"$id == ship_trophy_isa
!IsaContactRulesCMD alreadyJoined",,,40:ship_trophy_isa_open:Talk about the Hall of Triumph ledgers.,Isa contact entry point before officer recruitment.
shipTrophyIsaOfficerContactOption,PopulateOptions,"$id == ship_trophy_isa
IsaContactRulesCMD alreadyJoined",IsaContactRulesCMD showContactPortrait,,40:ship_trophy_isa_officer_call:Call Isa's Hall office.,Post-recruitment contact entry point.
shipTrophyIsaOfficerCall,DialogOptionSelected,$option == ship_trophy_isa_officer_call,"SetShortcut ship_trophy_isa_close ""ESCAPE""","The connection routes to Isa's office. Instead of a live feed, the comm screen displays her screensaver: a photo of her looking out at the stars, below the shadow of some unknown ship.","0:ship_trophy_isa_officer_answer:""Isa?""
100:ship_trophy_isa_close:Cut the comm link.",Post-recruitment office screensaver beat.
shipTrophyIsaOfficerAnswer,DialogOptionSelected,$option == ship_trophy_isa_officer_answer,"SetShortcut ship_trophy_isa_close ""ESCAPE""","A moment later, the screensaver folds away. Isa appears on the feed from somewhere aboard your fleet, safety goggles pushed into her hair and a spanner still in one hand.

""Commander? Why are you calling my office? I'm still here with the fleet. You could've just talked to me.""

She glances off-screen. ""Well? You wanted something?""","0:ship_trophy_isa_open:""Since we're connected, pull up the Hall ledgers.""
100:ship_trophy_isa_close:Cut the comm link.",Post-recruitment answer before the normal Hall menu.
shipTrophyIsaContactOpen,DialogOptionSelected,$option == ship_trophy_isa_open,"IsaContactRulesCMD prepareMain
FireAll ShipTrophyIsaMainText
FireAll ShipTrophyIsaMainOptions",,,Opens or returns to Isa's rules-driven Hall menu.
shipTrophyIsaMainText,ShipTrophyIsaMainText,,"SetTextHighlightColors hColor hColor hColor
SetTextHighlights $shipTrophyIsaRooms $shipTrophyIsaUniqueHulls $shipTrophyIsaUniqueDp","Isa has the Hall of Triumph's network up on a battered slate: $shipTrophyIsaRooms functional rooms, $shipTrophyIsaUniqueHulls unique hull types, $shipTrophyIsaUniqueDp unique deployment points.

""It's not about not owning ships,"" she says. ""It's owning history. Hulls with enough legacy that they teach us all.""",,
shipTrophyIsaMainJoin,ShipTrophyIsaMainOptions,IsaContactRulesCMD canJoin,"SetOptionColor ship_trophy_isa_join_fleet highlight
SetTooltip ship_trophy_isa_join_fleet ""Every vanilla Hall of Triumph ledger is complete. Isa can now join your officer roster.""",,0:ship_trophy_isa_join_fleet:Isa is ready to join the fleet.,
shipTrophyIsaMainMasterwork,ShipTrophyIsaMainOptions,,IsaContactOptionsCMD populateMasterworkOption,,,
shipTrophyIsaMainUniques,ShipTrophyIsaMainOptions,,,,20:ship_trophy_isa_uniques:Ask about unique hulls.,
shipTrophyIsaMainSubtypes,ShipTrophyIsaMainOptions,,,,30:ship_trophy_isa_subtypes:Ask about vanilla faction and subtype programs.,
shipTrophyIsaMainModdedUniques,ShipTrophyIsaMainOptions,IsaContactRulesCMD hasUniquePrograms modded,,,40:ship_trophy_isa_modded_uniques:Ask about modded unique hulls.,
shipTrophyIsaMainModdedSubtypes,ShipTrophyIsaMainOptions,IsaContactRulesCMD hasSubtypePrograms modded,,,50:ship_trophy_isa_modded_subtypes:Ask about modded faction and subtype programs.,
shipTrophyIsaMainLeave,ShipTrophyIsaMainOptions,,"SetShortcut ship_trophy_isa_close ""ESCAPE""",,100:ship_trophy_isa_close:Cut the comm link.,
shipTrophyIsaMasterworkHub,DialogOptionSelected,$option == ship_trophy_isa_masterwork,"IsaContactRulesCMD prepareMasterwork
IsaContactRulesCMD showMasterworkIntro
IsaContactRulesCMD showMasterworkStatus
FireBest ShipTrophyIsaMasterworkState",,,
shipTrophyIsaMasterworkIncomplete,ShipTrophyIsaMasterworkState,!IsaContactRulesCMD masterworkComplete,"SetShortcut ship_trophy_isa_close ""ESCAPE""","""Bring me the missing hulls and I'll get to work on my custom modspec.""","0:ship_trophy_isa_masterwork:Back.
100:ship_trophy_isa_close:Cut the comm link.",
shipTrophyIsaMasterworkComplete,ShipTrophyIsaMasterworkState,IsaContactRulesCMD masterworkComplete,"FireAll ShipTrophyIsaMasterworkCompleteText
FireBest ShipTrophyIsaMasterworkCompleteOptions",,,
shipTrophyIsaMasterworkCompleteText,ShipTrophyIsaMasterworkCompleteText,,,"Isa has all five hull profiles hanging in the air around her: Onslaught XIV, Paragon, Invictus, Conquest, Executor. Lines of forge notation connect them into a web only she seems able to read.

""Would you look at that,"" she says, almost reverently. ""Five different answers to the same question: how much ship can you build before the song you're singing becomes noise?""",,
